,Advert_No,Price,Room_Count,Meter_Square,Build_Age,Town,Neighbourhood
0,135948-12,                3600000                 ,6,275,20,Meram,Havzan
1,129953-61,                3360000                 ,5,220,5,Selçuklu,Sancak
2,125942-75,                1000000                 ,2,100,0,Ereğli,Atakent
3,125942-72,                1250000                 ,3,130,25,Ereğli,Aydınlar
4,103426-78,                3300000                 ,5,230,0,Selçuklu,Selçuk
5,125683-793,                2150000                 ,4,155,3,Selçuklu,SelahaddinEyyubi
6,125683-765,                1700000                 ,3,125,0,Selçuklu,Sancak
7,136689-5,                2925000                 ,5,190,5,Selçuklu,Hocacihan
8,0-40548801,                850000                 ,3,125,28,Beyşehir,Yeni
9,89673-1572,                1750000                 ,4,154,22,Selçuklu,Işıklar
10,84545-583,                1925000                 ,4,115,0,Meram,Uluırmak
11,127826-303,                2570000                 ,4,130,0,Selçuklu,SelahaddinEyyubi
12,129467-216,                1150000                 ,3,115,0,Karatay,Saraçoğlu
13,134423-282,                2080000                 ,4,130,1,Karatay,Hamzaoğlu
14,128140-133,                1050000                 ,4,140,13,Meram,Gödene
15,132760-109,                1350000                 ,4,140,4,Ereğli,HacıMustafa
16,123893-273,                2650000                 ,4,180,8,Selçuklu,Selçuk
17,125652-406,                2000000                 ,4,160,0,Selçuklu,Hanaybaşı
18,57307-483,                3450000                 ,5,220,1,Selçuklu,Kılınçarslan
19,130547-270,                750000                 ,4,170,30,Karatay,Hamzaoğlu
20,134877-36,                1250000                 ,4,140,0,Karatay,Selimsultan
21,135041-5,                1150000                 ,4,150,9,Beyşehir,Yeni
22,128440-52,                1750000                 ,4,165,0,Ereğli,Atakent
23,121431-269,                2000000                 ,4,143,0,Selçuklu,Akşemsettin
24,69350-1241,                3250000                 ,8,310,10,Meram,Çaybaşı
25,132006-19,                1700000                 ,4,200,0,Karatay,Hasandedemescit
26,92929-325,                1375000                 ,4,170,35,Selçuklu,MusallaBağları
27,15533-63,                1600000                 ,4,120,14,Selçuklu,BosnaHersek
28,112382-77,                4250000                 ,4,186,3,Selçuklu,Kılınçarslan
29,133420-49,                1560000                 ,4,155,5,Karatay,Hamzaoğlu
30,81846-1568,                2550000                 ,4,149,1,Selçuklu,Parsana
31,67536-483,                2500000                 ,5,200,15,Meram,Sahibiata
32,59548-740,                1350000                 ,4,170,28,Selçuklu,Akşemsettin
33,66538-1530,                1440000                 ,4,160,20,Karatay,Ulubatlıhasan
34,127826-302,                2600000                 ,4,160,8,Selçuklu,Kılınçarslan
35,134423-270,                1130000                 ,3,115,1,Karatay,Karaaslandede
36,128140-126,                1265000                 ,4,165,0,Karatay,Yediler
37,123893-272,                1950000                 ,4,170,6,Meram,Aydoğdu
38,125652-404,                6750000                 ,5,310,0,Selçuklu,SilleAk
39,132760-101,                1450000                 ,4,155,4,Ereğli,MehmetAkif
40,130897-40,                2750000                 ,5,200,6,Ereğli,Yenibağlar
41,110611-5,                1500000                 ,4,145,4,Karatay,Akabe
42,62802-1221,                1550000                 ,4,150,25,Selçuklu,Bedir
43,125683-795,                2000000                 ,4,155,0,Selçuklu,SelahaddinEyyubi
44,130547-290,                1200000                 ,4,170,15,Karatay,Fetih
45,134877-29,                1450000                 ,4,145,0,Karatay,HacıHasan
46,134423-255,                1350000                 ,4,125,0,Karatay,Karaaslandede
47,125652-400,                1650000                 ,4,155,0,Selçuklu,SelahaddinEyyubi
48,132760-92,                11999999                 ,4,165,10,Ereğli,Orhangazi
49,112660-614,                1645000                 ,4,150,2,Ereğli,BatıElagözlü
50,128842-374,                3820000                 ,5,200,5,Selçuklu,Yazır
51,125683-794,                2050000                 ,4,155,0,Selçuklu,SelahaddinEyyubi
52,123893-287,                1090000                 ,4,135,25,Selçuklu,ŞeyhŞamil
53,66538-1529,                1290000                 ,3,130,8,Karatay,Hacıyusufmescit
54,127826-284,                2500000                 ,4,150,6,Selçuklu,Şeker
55,134423-171,                1600000                 ,3,154,0,Karatay,Mengene
56,132760-81,                1650000                 ,4,150,20,Ereğli,Eti
57,128972-402,                2195000                 ,4,160,0,Selçuklu,Akşemsettin
58,65192-237,                800000                 ,3,120,25,Selçuklu,BosnaHersek
59,80269-1115,                4600000                 ,10,380,18,Selçuklu,Erenköy
60,115877-1,                4650000                 ,5,200,0,Ereğli,Hacımemiş
61,133438-54,                2500000                 ,5,225,10,Selçuklu,Beyhekim
62,132269-33,                2450                 ,4,130,10,Selçuklu,Buhara
63,82412-2022,                2875000                 ,8,340,11,Meram,Havzan
64,125683-806,                1850000                 ,4,175,3,Selçuklu,Yazır
65,127826-248,                1600000                 ,3,110,3,Selçuklu,Beyhekim
66,132760-74,                2250000                 ,4,150,0,Ereğli,MehmetAkif
67,121431-748,                1590000                 ,3,130,4,Selçuklu,SelahaddinEyyubi
68,134423-278,                1550000                 ,5,170,23,Karatay,BüyükSinan
69,135159-15,                1200000                 ,3,125,20,Selçuklu,Esenler
70,47751-496,                2550000                 ,4,140,0,Selçuklu,Yazır
71,62802-1213,                1050000                 ,4,150,20,Selçuklu,Binkonutlar
72,125683-800,                1175000                 ,3,110,6,Selçuklu,Beyhekim
73,132760-39,                1450000                 ,4,160,5,Ereğli,Cahı
74,127826-56,                4950000                 ,6,246,4,Selçuklu,Beyhekim
75,80269-1108,                8500000                 ,5,210,4,Meram,Yenişehir
76,130547-281,                1750000                 ,6,457,3,Güneysınır,Gürağaç
77,82412-2024,                1975000                 ,4,175,5,Meram,Melikşah
78,134423-242,                1350000                 ,4,125,0,Karatay,Karaaslandede
79,125838-234,                1350000                 ,4,165,0,Karatay,Kumköprü
80,127826-296,                1400000                 ,3,100,10,Selçuklu,Beyhekim
81,0-40544822,                1100000                 ,4,150,20,Ereğli,Türbe
82,29281-1966,                1950000                 ,4,170,2,Karatay,Emirgazi
83,135595-17,                4000000                 ,5,220,5,Meram,Melikşah
84,136766-1,                4800000                 ,8,190,14,Meram,Alakova
85,131765-155,                2000000                 ,4,165,0,Selçuklu,Yazır
86,103622-81,                915000                 ,4,158,35,Selçuklu,Bedir
87,122179-392,                6200000                 ,7,600,5,Meram,Yaka
88,92390-825,                2050000                 ,4,145,17,Selçuklu,Beyhekim
89,57068-93,                1175000                 ,4,156,9,Meram,Hatıp
90,135948-16,                1400000                 ,4,140,0,Selçuklu,Sancak
91,134792-57,                1575000                 ,4,160,0,Karatay,Karakulak
92,124920-35,                3450000                 ,5,230,16,Selçuklu,Feritpaşa
93,131350-287,                1700000                 ,4,165,6,Karatay,Erenler
94,88418-74,                2300000                 ,4,170,4,Karatay,Ulubatlıhasan
95,136716-3,                2200000                 ,4,160,0,Karatay,Çimenlik
96,129230-33,                5450000                 ,6,225,0,Selçuklu,Hacıkaymak
97,135918-4,                2350000                 ,4,135,7,Selçuklu,BosnaHersek
98,96769-523,                1300000                 ,4,150,30,Meram,Konevi
99,46557-1791,                2325000                 ,4,177,0,Meram,Karahüyük
100,134113-67,                4750000                 ,6,225,4,Selçuklu,Şeker
101,88297-45,                920000                 ,4,140,20,Ereğli,HacıMütahir
102,130726-83,                1680000                 ,4,210,25,Selçuklu,Feritpaşa
103,133419-43,                1950000                 ,4,155,4,Selçuklu,Kosova
104,132907-34,                9850000                 ,15,665,20,Meram,Hatıp
105,132987-6,                1100000                 ,4,140,12,Karatay,Karaaslandede
106,122225-71,                1875000                 ,4,170,12,Selçuklu,Beyhekim
107,67219-757,                7000000                 ,8,180,0,Selçuklu,Erenköy
108,110611-12,                1200000                 ,4,110,48,Selçuklu,Nişantaş
109,125194-103,                2540000                 ,4,170,8,Selçuklu,Kılınçarslan
110,128842-375,                1840000                 ,4,167,0,Selçuklu,BüyükkayacıkOSB
111,119176-104,                2000000                 ,4,175,10,Selçuklu,Akşemsettin
112,134611-47,                1690000                 ,4,165,2,Ereğli,Aydınlar
113,112522-142,                1690000                 ,4,170,11,Karatay,Kayacıkaraplar
114,80269-1184,                1600000                 ,4,180,28,Meram,Konevi
115,128440-72,                690000                 ,2,65,0,Ereğli,Toros
116,127902-187,                1200000                 ,3,120,13,Karatay,Doğuş
117,92473-652,                1700000                 ,4,150,15,Selçuklu,Yazır
118,82412-2061,                1150000                 ,3,115,30,Meram,Sahibiata
119,123893-282,                1150000                 ,4,140,23,Selçuklu,Malazgirt
120,125683-724,                1400000                 ,3,120,0,Selçuklu,Kosova
121,64652-411,                2100000                 ,4,165,12,Selçuklu,Hocacihan
122,131765-154,                1240000                 ,14,125,4,Karatay,Hacıyusufmescit
123,57068-92,                1190000                 ,4,120,30,Selçuklu,Binkonutlar
124,133420-48,                3975000                 ,8,165,0,Karatay,Karaaslandede
125,134792-55,                3050000                 ,4,170,5,Selçuklu,Hacıkaymak
126,132269-37,                4050000                 ,5,207,3,Selçuklu,Yazır
127,88418-73,                1900000                 ,4,160,5,Karatay,Ulubatlıhasan
128,129467-215,                1500000                 ,4,160,4,Karatay,Saraçoğlu
129,135041-15,                1400000                 ,4,160,5,Beyşehir,Yeni
130,15533-50,                1300000                 ,3,100,5,Selçuklu,Beyhekim
131,81846-1546,                7000000                 ,5,225,5,Selçuklu,Selçuk
132,46557-1774,                2280000                 ,4,179,0,Meram,Karahüyük
133,131350-228,                1225000                 ,3,110,5,Karatay,Erenler
134,47751-501,                12000000                 ,5,214,0,Meram,Alavardı
135,130897-32,                1250000                 ,4,180,18,Ereğli,NamıkKemal
136,129230-17,                15600000                 ,8,400,0,Meram,Ayanbey
137,96769-501,                2550000                 ,4,175,8,Selçuklu,Şeker
138,112382-63,                1985000                 ,4,175,23,Selçuklu,Feritpaşa
139,133785-47,                1540000                 ,4,160,0,Karatay,Hamzaoğlu
140,135672-2,                1600000                 ,4,175,8,Karatay,Köprübaşı
141,127826-295,                3500000                 ,3,155,8,Meram,Havzan
142,57251-2208,                2600000                 ,4,160,7,Selçuklu,Kılınçarslan
143,122225-109,                1749000                 ,3,115,0,Selçuklu,SelahaddinEyyubi
144,92929-299,                1200000                 ,2,65,6,Selçuklu,Binkonutlar
145,67219-731,                4200000                 ,4,180,0,Karatay,İstiklal
146,132006-27,                1800000                 ,5,230,0,Karatay,Hasandedemescit
147,129170-83,                1360000                 ,4,155,25,Karatay,Akabe
148,122179-388,                5000000                 ,5,248,4,Selçuklu,Şeker
149,119393-481,                4000000                 ,6,350,8,Selçuklu,Buhara
150,58948-205,                7500000                 ,6,380,2,Ereğli,Gaybi
151,69350-1314,                910000                 ,3,125,35,Meram,Konevi
152,57166-522,                930000                 ,2,75,5,Akşehir,İstasyon
153,29281-1965,                2300000                 ,4,200,10,Selçuklu,MusallaBağları
154,70173-910,                1780000                 ,4,160,5,Ereğli,Yunuslu
155,131765-153,                40000000                 ,7,500,0,Selçuklu,Erenköy
156,121431-832,                1220000                 ,3,135,11,Karatay,Akabe
157,66538-1479,                2200000                 ,4,165,0,Selçuklu,Akşemsettin
158,57068-80,                1800000                 ,4,181,11,Meram,Aymanas
159,128440-64,                1100000                 ,3,120,35,Ereğli,Üçgöz
160,134877-27,                710000                 ,4,160,20,Selçuklu,Kosova
161,46557-1758,                2300000                 ,4,185,0,Meram,Karahüyük
162,136766-2,                2100000                 ,4,145,6,Beyşehir,Bahçelievler
163,133419-32,                1300000                 ,3,135,4,Meram,Bayat
164,59548-739,                950000                 ,3,120,32,Selçuklu,Bedir
165,115752-308,                1500000                 ,4,165,15,Ereğli,Çömlekçi
166,109292-291,                1600000                 ,4,155,0,Selçuklu,Sancak
167,88620-139,                1350000                 ,4,155,0,Karatay,Erenler
168,134611-17,                1125000                 ,3,100,1,Ereğli,Atakent
169,62802-1196,                1400000                 ,6,220,15,Karatay,BüyükSinan
170,78913-1284,                1150000                 ,4,190,0,Kulu,FatihSultanMehmet
171,133420-50,                1325000                 ,3,125,1,Karatay,Hamzaoğlu
172,67219-766,                2400000                 ,4,160,0,Selçuklu,Sancak
173,39168-4452,                2750000                 ,4,175,5,Selçuklu,Selçuk
174,120987-155,                1600000                 ,4,175,4,Karatay,Akifpaşa
175,129170-82,                1650000                 ,4,170,7,Karatay,Karakulak
176,122179-389,                4950000                 ,5,280,5,Selçuklu,Kılınçarslan
177,129467-183,                2050000                 ,3,150,6,Karatay,Erler
178,130897-23,                4000000                 ,4,165,15,Ereğli,Aydınlar
179,70173-911,                1180000                 ,4,160,15,Ereğli,Toros
180,125194-105,                1800000                 ,4,135,4,Selçuklu,Kosova
181,125652-452,                2400000                 ,4,155,0,Selçuklu,Hanaybaşı
182,130547-289,                1750000                 ,4,140,0,Meram,Havzan
183,121431-791,                1299000                 ,4,150,0,Karatay,Hacıyusufmescit
184,66538-1461,                1695000                 ,4,160,0,Karatay,Gaziosmanpaşa
185,57068-60,                2000000                 ,4,170,10,Meram,Kovanağzı
186,82412-2059,                4275000                 ,5,230,8,Selçuklu,Selçuk
187,131765-49,                3400000                 ,5,210,4,Selçuklu,Beyhekim
188,15533-59,                1225000                 ,2,55,10,Selçuklu,BosnaHersek
189,132006-26,                1600000                 ,4,170,0,Karatay,Hasandedemescit
190,125683-781,                875000                 ,2,75,8,Selçuklu,Beyhekim
191,96769-482,                1850000                 ,4,160,8,Selçuklu,Şeker
192,133987-31,                1090000                 ,3,140,30,Meram,Havzan
193,57251-2211,                1150000                 ,4,160,18,Selçuklu,BosnaHersek
194,128440-68,                1650000                 ,4,155,0,Ereğli,Talatpaşa
195,111292-76,                5250000                 ,5,186,0,Meram,Karahüyük
196,112660-612,                1550000                 ,4,145,0,Ereğli,Toros
197,131945-60,                1450000                 ,4,175,3,Cihanbeyli,Cumhuriyet
198,129985-157,                890000                 ,3,120,20,Ereğli,NamıkKemal
199,135343-118,                2700000                 ,5,200,3,Karatay,Doğuş
200,132088-74,                1500000                 ,4,168,0,Karatay,Ulubatlıhasan
201,0-40514811,                1450000                 ,4,177,18,Ereğli,Gülbahçe
202,131405-88,                1600000                 ,4,512,38,Ilgın,Ayvatdede
203,132874-41,                4200000                 ,4,184,0,Karatay,İstiklal
204,136176-12,                1950000                 ,4,160,0,Selçuklu,Sancak
205,130520-317,                2850000                 ,4,165,5,Meram,Alavardı
206,130722-32,                3500000                 ,4,200,14,Selçuklu,Yukarıpınarbaşı
207,135307-2,                1530000                 ,4,145,30,Meram,Alavardı
208,99983-520,                4500000                 ,5,220,0,Meram,Yenişehir
209,90958-5,                840000                 ,4,140,31,Selçuklu,İhsaniye
210,131749-39,                1750000                 ,4,170,15,Selçuklu,MehmetAkif
211,132181-3,                6850000                 ,6,300,3,Halkapınar,Bahçelievler
212,122225-115,                1260000                 ,4,145,14,Selçuklu,Akşemsettin
213,129070-26,                2800000                 ,6,275,6,Ereğli,Kazancı
214,67219-800,                2350000                 ,4,155,0,Selçuklu,Parsana
215,122179-387,                2100000                 ,3,155,0,Selçuklu,SelahaddinEyyubi
216,133420-46,                1775000                 ,4,155,0,Karatay,Hamzaoğlu
217,78913-1283,                1300000                 ,4,185,0,Kulu,FatihSultanMehmet
218,70173-876,                1850000                 ,4,165,1,Ereğli,Aydınlar
219,121431-746,                7900000                 ,8,320,0,Meram,Lalebahçe
220,125652-434,                2050000                 ,4,165,0,Selçuklu,Yazır
221,130547-272,                1320000                 ,4,150,3,Karatay,Çatalhüyük
222,66538-1447,                1800000                 ,4,175,12,Selçuklu,Nişantaş
223,82412-1999,                5200000                 ,5,260,10,Selçuklu,Erenköy
224,123893-269,                2380000                 ,4,175,10,Meram,Alavardı
225,121745-470,                800000                 ,3,120,30,Selçuklu,Binkonutlar
226,2168-2156,                1700000                 ,4,170,15,Selçuklu,Sancak
227,131765-150,                1180000                 ,4,180,18,Selçuklu,Işıklar
228,34922-1428,                900000                 ,4,155,33,Selçuklu,Bedir
229,125746-171,                1245000                 ,3,145,8,Karatay,HacıHasan
230,132907-155,                115                 ,1,40,2,Meram,Bayat
231,135948-17,                495000                 ,3,75,50,Meram,Sahibiata
232,129985-156,                3650000                 ,4,190,2,Ereğli,Talatpaşa
233,133438-61,                1300000                 ,3,105,5,Selçuklu,Beyhekim
234,111292-62,                4000000                 ,5,330,0,Meram,Bahçeşehir
235,136176-6,                2000000                 ,4,160,0,Selçuklu,Sancak
236,130722-27,                1850000                 ,4,170,3,Selçuklu,SelahaddinEyyubi
237,135159-13,                1350000                 ,4,165,10,Karatay,Fevziçakmak
238,135595-7,                1740000                 ,4,165,0,Karatay,Kumköprü
239,89673-1501,                1750000                 ,4,162,11,Selçuklu,Yazır
240,99983-503,                4000000                 ,5,257,0,Selçuklu,Işıklar
241,88297-17,                1650000                 ,4,175,1,Ereğli,MehmetAkif
242,125838-10,                2250000                 ,4,165,0,Karatay,Akabe
243,67219-797,                2300000                 ,4,170,5,Selçuklu,Akşemsettin
244,62608-973,                890000                 ,3,100,30,Ereğli,Türbe
245,128842-373,                2500000                 ,4,165,10,Selçuklu,Yazır
246,132181-65,                750000                 ,2,58,4,Ereğli,Toros
247,98608-892,                1450000                 ,4,160,0,Ereğli,MimarSinan
248,125962-84,                3500000                 ,4,180,0,Meram,Yenişehir
249,0-40544872,                1250000                 ,2,90,7,Meram,Aşkan
250,130544-48,                675000                 ,4,165,35,Meram,Sahibiata
251,80849-244,                1215000                 ,4,175,20,Akşehir,Atakent
252,60020-495,                1270000                 ,4,160,1,Karatay,Emirgazi
253,65907-3095,                1100000                 ,3,115,15,Ereğli,Üçgöz
254,70173-908,                1790000                 ,4,155,0,Ereğli,MehmetAkif
255,125652-408,                7500000                 ,8,260,0,Selçuklu,Buhara
256,121431-713,                9750000                 ,9,550,16,Meram,Durunday
257,66538-1428,                1785000                 ,4,170,2,Karatay,Fetih
258,133420-25,                1750000                 ,4,150,0,Karatay,Karakulak
259,129070-58,                3590000                 ,4,200,10,Ereğli,Belceağaç
260,82412-2034,                2395000                 ,5,290,0,Selçuklu,Hocacihan
261,94059-143,                1200000                 ,4,125,20,Selçuklu,BosnaHersek
262,62802-1235,                1550000                 ,4,150,15,Selçuklu,Kosova
263,123893-288,                1665000                 ,4,170,15,Karatay,Ulubatlıhasan
264,92473-655,                1040000                 ,4,120,25,Selçuklu,Dumlupınar
265,57166-518,                2750000                 ,4,120,20,Akşehir,Gazi
266,120987-158,                1600000                 ,4,150,6,Selçuklu,MehmetAkif
267,15533-61,                850000                 ,2,55,6,Selçuklu,Kosova
268,0-40517336,                1725000                 ,4,145,6,Selçuklu,Yazır
269,88418-84,                1200000                 ,3,130,20,Selçuklu,Binkonutlar
270,69350-1286,                975000                 ,4,170,30,Meram,Sahibiata
271,111292-29,                3150000                 ,4,185,5,Selçuklu,Şeker
272,130722-18,                2500000                 ,2,80,5,Selçuklu,Yukarıpınarbaşı
273,122179-384,                1300000                 ,4,150,25,Selçuklu,Fatih
274,131350-143,                1150000                 ,4,165,7,Karatay,İstiklal
275,130897-38,                830000                 ,2,70,0,Ereğli,Toros
276,133785-48,                1825000                 ,4,160,0,Karatay,Mengene
277,128842-372,                1635000                 ,4,165,0,Karatay,Kumköprü
278,78639-3004,                1660000                 ,4,155,2,Ereğli,Fatih
279,132181-47,                780000                 ,2,65,0,Ereğli,Toros
280,99983-493,                1550000                 ,4,165,18,Selçuklu,Aydınlıkevler
281,2168-2155,                900000                 ,4,110,20,Selçuklu,BosnaHersek
282,134423-286,                2850000                 ,4,350,10,Meram,Alakova
283,132760-117,                1050000                 ,3,130,15,Ereğli,Türbe
284,125652-401,                1800000                 ,4,155,0,Selçuklu,Parsana
285,121431-711,                2649000                 ,4,165,5,Selçuklu,Hacıkaymak
286,107624-84,                710000                 ,3,130,35,Selçuklu,İhsaniye
287,67219-801,                1845000                 ,4,155,0,Selçuklu,SelahaddinEyyubi
288,66538-1200,                2770000                 ,4,165,0,Meram,Havzan
289,70173-884,                1590000                 ,4,155,3,Ereğli,Atakent
290,57251-2209,                2800000                 ,4,175,7,Selçuklu,Kılınçarslan
291,125746-24,                1300000                 ,4,125,25,Meram,Konevi
292,120987-186,                1420000                 ,4,165,17,Selçuklu,Kosova
293,125838-211,                6400000                 ,6,255,0,Meram,Karahüyük
294,94059-110,                1750000                 ,4,170,8,Selçuklu,Kosova
295,112382-92,                3250000                 ,5,230,5,Selçuklu,Yazır
296,88418-83,                1220000                 ,4,160,15,Karatay,Keykubat
297,129467-218,                1775000                 ,4,135,0,Karatay,Mengene
298,46557-1793,                2299999                 ,4,189,0,Meram,Karahüyük
299,0-40538407,                1950000                 ,4,160,0,Karatay,BüyükSinan
300,80269-1183,                5350000                 ,6,210,0,Meram,Kovanağzı
301,64652-445,                1680000                 ,4,135,0,Karatay,Kumköprü
302,57166-532,                2080000                 ,4,160,8,Selçuklu,Kosova
303,122179-385,                4250000                 ,5,220,0,Meram,Kozağaç
304,133420-37,                1280000                 ,3,115,0,Karatay,Hamzaoğlu
305,125962-87,                2100000                 ,4,160,0,Selçuklu,Erenköy
306,132760-116,                1200000                 ,3,130,15,Ereğli,Cahı
307,125652-399,                2400000                 ,4,155,0,Selçuklu,Sakarya
308,60020-483,                730000                 ,3,135,20,Selçuklu,BosnaHersek
309,124920-20,                4800000                 ,5,170,0,Meram,Harmancık
310,82412-2053,                5850000                 ,7,500,10,Meram,Kovanağzı
311,39168-4455,                1600000                 ,4,155,17,Selçuklu,Akşemsettin
312,128140-132,                1100000                 ,3,103,4,Selçuklu,Kosova
313,107624-87,                1200000                 ,4,185,23,Selçuklu,Esenler
314,109292-310,                1600000                 ,4,140,15,Selçuklu,Buhara
315,70173-892,                1600000                 ,4,185,10,Ereğli,Barbaros
316,133344-81,                5250000                 ,5,200,21,Meram,Konevi
317,89011-43,                3600000                 ,5,220,0,Selçuklu,Kılınçarslan
318,135475-17,                2375000000                 ,4,190,15,Selçuklu,MusallaBağları
319,0-40505912,                1800000                 ,4,145,0,Selçuklu,Akşemsettin
320,136750-20,                1380000                 ,4,165,0,Selçuklu,Kosova
321,107333-56,                16200000                 ,6,400,0,Selçuklu,Hocacihan
322,0-40499161,                1350000                 ,4,165,23,Karatay,Hacıyusufmescit
323,0-40500245,                10900000                 ,7,395,5,Meram,Lalebahçe
324,128032-287,                8550000                 ,6,255,3,Selçuklu,Şeker
325,0-40497552,                1720000                 ,4,167,1,Meram,Uluırmak
326,0-40493933,                3250000                 ,5,270,2,Ereğli,Yunuslu
327,133637-50,                1150000                 ,3,135,15,Karatay,Karakulak
328,85077-118,                2600000                 ,4,170,0,Selçuklu,SelahaddinEyyubi
329,0-40486855,                3750000                 ,4,180,9,Meram,Alavardı
330,0-40484765,                1300000                 ,4,150,4,Meram,Gödene
331,0-40482724,                4250000                 ,5,226,4,Selçuklu,Beyhekim
332,0-40474058,                1300000                 ,3,110,30,Selçuklu,ŞeyhŞamil
333,130420-34,                1060000                 ,2,105,10,Selçuklu,İhsaniye
334,0-40467999,                1435000                 ,4,145,23,Ereğli,Eti
335,0-40461484,                1650000                 ,4,150,0,Karatay,HacıHasan
336,129814-125,                7450000                 ,7,520,1,Selçuklu,Parsana
337,0-40453058,                1600000                 ,4,165,15,Karatay,Ulubatlıhasan
338,134878-29,                2900000                 ,4,167,0,Selçuklu,Kosova
339,0-40443592,                2000000                 ,4,185,13,Selçuklu,Yazır
340,136295-13,                1175000                 ,2,80,4,Meram,Aşkan
341,0-40444035,                4200000                 ,4,160,3,Meram,Yenişehir
342,0-40430967,                2875000                 ,4,168,10,Meram,Alavardı
343,0-40414920,                1970000                 ,4,160,15,Selçuklu,Parsana
344,0-40406219,                1200000                 ,4,170,13,Karatay,Hacıveyiszade
345,134317-41,                4750000                 ,4,150,10,Meram,Bayat
346,0-40405402,                1300000                 ,4,150,25,Ereğli,Alpaslan
347,0-40403506,                1575000                 ,4,135,8,Selçuklu,Hanaybaşı
348,0-40403771,                1750000                 ,4,145,5,Selçuklu,Yazır
349,0-40400077,                1600000                 ,4,114,3,Ereğli,Toros
350,132136-82,                5470000                 ,5,276,15,Selçuklu,Beyhekim
351,134123-26,                1930000                 ,4,160,6,Karatay,Keykubat
352,0-40398244,                5750000                 ,5,200,10,Meram,Aydoğdu
353,126004-34,                1825000                 ,4,165,2,Karatay,Hacıveyiszade
354,58332-409,                1950000                 ,4,165,0,Karatay,Köprübaşı
355,0-40374745,                1125000                 ,4,140,20,Selçuklu,Sancak
356,136312-5,                1300000                 ,4,170,0,Kulu,FatihSultanMehmet
357,63450-265,                3550000                 ,5,200,11,Selçuklu,Beyhekim
358,132449-93,                899000                 ,4,135,10,Karatay,Nakipoğlu
359,60294-769,                2050000                 ,4,150,7,Meram,Yenişehir
360,130946-66,                2450000                 ,4,160,2,Meram,Alavardı
361,132375-81,                1550000                 ,4,175,8,Karatay,Karakulak
362,73671-1069,                1900000                 ,6,305,8,Selçuklu,HüsamettinÇelebi
363,122575-132,                3950000                 ,5,205,0,Selçuklu,Yazır
364,129201-6,                1350000                 ,4,170,26,Selçuklu,Fatih
365,99983-562,                2500000                 ,5,220,18,Karatay,Kalenderhane
366,67219-802,                1850000                 ,4,155,0,Selçuklu,SelahaddinEyyubi
367,103244-271,                1950000                 ,4,130,0,Selçuklu,SelahaddinEyyubi
368,88418-79,                2400000                 ,4,160,4,Karatay,Ulubatlıhasan
369,129467-217,                2100000                 ,4,150,0,Selçuklu,Erenköy
370,57068-89,                1050000                 ,4,140,15,Selçuklu,BosnaHersek
371,46557-1782,                2390000                 ,4,184,0,Meram,Karahüyük
372,66538-1449,                1100000                 ,3,115,0,Karatay,İstiklal
373,2168-2157,                1000000                 ,3,110,20,Selçuklu,BosnaHersek
374,13689-345,                4050000000                 ,5,205,6,Selçuklu,Kılınçarslan
375,0-40495136,                1500000                 ,3,110,4,Selçuklu,Akşemsettin
376,136487-5,                4750000                 ,5,250,0,Meram,Harmancık
377,119637-297,                2750000                 ,5,210,0,Selçuklu,SelahaddinEyyubi
378,80269-1017,                7100000                 ,6,239,0,Meram,Karahüyük
379,0-40391467,                3900000                 ,5,204,7,Selçuklu,Kılınçarslan
380,64166-739,                3450000                 ,4,175,2,Meram,Alavardı
381,127826-297,                3800000                 ,4,165,2,Selçuklu,SelahaddinEyyubi
382,132760-114,                1000000                 ,3,130,20,Ereğli,Türbe
383,125652-398,                2000000                 ,3,140,0,Selçuklu,Sakarya
384,98608-893,                1650000                 ,4,165,5,Ereğli,Hıdırlı
385,58948-186,                825000                 ,2,75,8,Ereğli,Cahı
386,122179-391,                1750000                 ,4,170,5,Selçuklu,BosnaHersek
387,0-40398196,                910000                 ,4,167,0,Meram,Uluırmak
388,97796-409,                6850000                 ,4,1.671,2,Meram,Durunday
389,57166-519,                1500000                 ,4,160,15,Akşehir,Kileci
390,130520-456,                15000000                 ,19,1.093,16,Beyşehir,Bahçelievler
391,89011-42,                1800000                 ,4,172,0,Selçuklu,SelahaddinEyyubi
392,107333-55,                4600000                 ,5,210,4,Selçuklu,Hocacihan
393,136750-12,                1325000                 ,4,160,15,Selçuklu,Feritpaşa
394,128032-277,                1375000                 ,4,180,26,Selçuklu,MusallaBağları
395,136716-4,                1350000                 ,3,120,2,Karatay,Keçeciler
396,115877-20,                950000                 ,3,75,2,Ereğli,Büyükdede
397,130420-31,                1200000                 ,3,100,18,Selçuklu,Yazır
398,135343-97,                2590000                 ,4,165,0,Karatay,Akabe
399,88620-250,                2850000                 ,4,187,6,Selçuklu,Kılınçarslan
400,103622-78,                2995000                 ,4,300,17,Selçuklu,SilleAk
401,133637-45,                1735000                 ,4,175,2,Karatay,Hasandedemescit
402,129814-123,                2650000                 ,4,170,0,Selçuklu,Yazır
403,92390-816,                850000                 ,2,90,5,Selçuklu,Sancak
404,135475-12,                1650000                 ,3,120,4,Karatay,Kayacıkaraplar
405,57307-486,                4600000                 ,9,280,26,Meram,Havzan
406,134878-18,                4500000                 ,5,205,0,Selçuklu,SelahaddinEyyubi
407,130726-92,                1000000                 ,4,160,25,Selçuklu,Fatih
408,132449-78,                1650000                 ,4,155,4,Selçuklu,Erenköy
