,Advert_No,Price,Room_Count,Meter_Square,Build_Age,Town,Neighbourhood
1109,134611-32,                790000                 ,2,75,0,Ereğli,Toros
1110,125942-77,                1200000                 ,3,110,0,Ereğli,MehmetAkif
1111,60020-479,                960000                 ,3,138,18,Selçuklu,BosnaHersek
1112,99983-558,                2500000                 ,4,165,0,Selçuklu,Beyhekim
1113,130592-128,                5650000                 ,4,155,0,Selçuklu,Sancak
1114,56086-1634,                2300000                 ,5,230,15,Selçuklu,Yazır
1115,129462-190,                2300000                 ,4,170,10,Ereğli,Fatih
1116,93052-206,                5250000                 ,5,210,3,Meram,Yenişehir
1117,136295-12,                770000                 ,3,100,0,Karatay,Hacıveyiszade
1118,133319-22,                2000000                 ,4,145,0,Karatay,Yediler
1119,134707-41,                1500000                 ,4,150,8,Meram,Uluırmak
1120,92343-656,                5500000                 ,8,250,6,Ereğli,YıldırımBeyazıt
1121,133342-75,                1550000                 ,4,150,8,Selçuklu,Hanaybaşı
1122,136304-4,                990000                 ,4,160,0,Kulu,Kemaliye
1123,133265-38,                1600000                 ,4,160,12,Selçuklu,Nişantaş
1124,131193-99,                1420000                 ,3,140,0,Selçuklu,Parsana
1125,123369-93,                7200000                 ,10,350,16,Meram,Aşkan
1126,121689-57,                1550000                 ,3,120,7,Selçuklu,Beyhekim
1127,129990-74,                1550000                 ,4,160,0,Ereğli,Şinasi
1128,133494-20,                1800000                 ,4,165,0,Ereğli,Eti
1129,122312-193,                1175000                 ,4,110,20,Selçuklu,Işıklar
1130,111292-63,                4500000                 ,5,370,0,Meram,Bahçeşehir
1131,84875-712,                6750000                 ,5,250,0,Meram,Lalebahçe
1132,131350-244,                1775000                 ,4,160,0,Selçuklu,Akşemsettin
1133,132907-139,                2000000                 ,4,135,26,Selçuklu,Fatih
1134,96769-522,                4000000                 ,4,150,25,Meram,Durunday
1135,129814-107,                1650000                 ,4,150,0,Selçuklu,SelahaddinEyyubi
1136,123893-271,                1315000                 ,4,145,15,Selçuklu,HüsamettinÇelebi
1137,56827-287,                2000000                 ,4,165,21,Meram,Aşkan
1138,0-40469453,                710000                 ,3,100,10,Sarayönü,Saraç
1139,120987-193,                1550000                 ,3,125,0,Selçuklu,Parsana
1140,69350-1336,                920000                 ,3,115,4,Akören,Ağalar
1141,78862-25,                3350000                 ,10,265,10,Meram,Alavardı
1142,97933-136,                1750000                 ,4,145,5,Karatay,Sarıyakup
1143,126181-161,                2200000                 ,5,190,10,Ereğli,BatıElagözlü
1144,56279-165,                7250000                 ,6,220,0,Meram,Karahüyük
